Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2044,,,,,, 2002, 50,Male,Not In Education,No Qualification,Full Time,    15978.86,1786,        8.95,Head,False,Previously Fostered,       11.00,        2.00,       22.00,        0.00,       25.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5047.04,     1307.77,      871.73,      855.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15978.86,    13799.36,        0.00,        0.00,        0.00,        0.00,        0.00,     2012.25
 2045,,,,,, 2002, 51,Male,Not In Education,No Qualification,Full Time,    15999.41,1786,        8.96,Head,False,Previously Fostered,       11.00,        2.00,       23.00,        0.00,       26.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5057.70,     1311.88,      873.91,      857.42,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15999.41,    13813.62,        0.00,        0.00,        0.00,        0.00,        0.00,     2014.49
 2046,,,,,, 2002, 52,Male,Not In Education,No Qualification,Full Time,    16008.84,1786,        8.96,Head,False,Previously Fostered,       11.00,        2.00,       24.00,        0.00,       27.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5062.60,     1313.77,      874.91,      858.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16008.84,    13820.17,        0.00,        0.00,        0.00,        0.00,        0.00,     2015.52
 2047,,,,,, 2002, 53,Male,Not In Education,No Qualification,Full Time,    16007.13,1786,        8.96,Head,False,Previously Fostered,       11.00,        2.00,       25.00,        0.00,       28.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5061.71,     1313.43,      874.73,      858.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16007.13,    13818.98,        0.00,        0.00,        0.00,        0.00,        0.00,     2015.33
 2048,,,,,, 2002, 54,Male,Not In Education,No Qualification,Full Time,    15994.28,1786,        8.96,Head,False,Previously Fostered,       11.00,        2.00,       26.00,        0.00,       29.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5055.04,     1310.86,      873.36,      856.88,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15994.28,    13810.06,        0.00,        0.00,        0.00,        0.00,        0.00,     2013.93
 2049,,,,,, 2002, 55,Male,Not In Education,No Qualification,Full Time,    15970.32,1786,        8.94,Head,False,Previously Fostered,       11.00,        2.00,       27.00,        0.00,       30.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5042.60,     1306.06,      870.82,      854.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15970.32,    13793.43,        0.00,        0.00,        0.00,        0.00,        0.00,     2011.32
 2050,,,,,, 2002, 56,Male,Not In Education,No Qualification,Full Time,    15935.29,1786,        8.92,Head,False,Previously Fostered,       11.00,        2.00,       28.00,        0.00,       31.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5024.42,     1299.06,      867.11,      850.75,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15935.29,    13769.12,        0.00,        0.00,        0.00,        0.00,        0.00,     2007.50
 2051,,,,,, 2002, 57,Male,Not In Education,No Qualification,Full Time,    15889.28,1786,        8.90,Head,False,Previously Fostered,       11.00,        2.00,       29.00,        0.00,       32.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5000.54,     1289.86,      862.23,      845.97,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15889.28,    13737.19,        0.00,        0.00,        0.00,        0.00,        0.00,     2002.49
 2052,,,,,, 2002, 58,Male,Not In Education,No Qualification,Full Time,    15832.38,1786,        8.86,Head,False,Previously Fostered,       11.00,        2.00,       30.00,        0.00,       33.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4971.01,     1278.48,      856.20,      840.05,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15832.38,    13697.70,        0.00,        0.00,        0.00,        0.00,        0.00,     1996.29
 2053,,,,,, 2002, 59,Male,Not In Education,No Qualification,Full Time,    15764.70,1786,        8.83,Head,False,Previously Fostered,       11.00,        2.00,       31.00,        0.00,       34.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4935.89,     1264.94,      849.03,      833.01,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15764.70,    13650.73,        0.00,        0.00,        0.00,        0.00,        0.00,     1988.92
 2054,,,,,, 2002, 60,Male,Not In Education,No Qualification,Full Time,    15686.38,1786,        8.78,Head,False,Previously Fostered,       11.00,        2.00,       32.00,        0.00,       35.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4895.26,     1249.28,      840.73,      824.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15686.38,    13596.38,        0.00,        0.00,        0.00,        0.00,        0.00,     1980.39
